YEAR,DOI,CITATION,CITATION METADATA,AUTHORS,SAMPLE NAME,UNIQUE_ID,LOCATION,ELEVATION (MIN.),ELEVATION (MAX.),SAMPLING TECHNIQUE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),LAND/SEA (SAMPLING),ROCK TYPE,ROCK NAME,ROCK TEXTURE,SAMPLE COMMENT,AGE (MIN.),AGE (MAX.),GEOLOGICAL AGE,GEOLOGICAL AGE PREFIX,ERUPTION DATE,ALTERATION,ALTERATION TYPE,TYPE OF MATERIAL,MINERAL / COMPONENT,CRYSTAL,RIM / CORE (MINERAL GRAINS),INCLUSION TYPE,MINERAL (INCLUSION),RIM / CORE (INCLUSION),HOSTMINERAL (INCLUSION),LATITUDE (MIN.),LONGITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MAX.),AL2O3(WT%)[EMP (EPMA)],CAO(WT%)[EMP (EPMA)],CH4(WT%)[MS],CL(WT%)[MS],CO1(WT%)[MS],CO2(WT%)[MS],F(WT%)[MS],FEOT(WT%)[EMP (EPMA)],H2O(WT%)[MS],K2O(WT%)[EMP (EPMA)],LOI(WT%)[EMP (EPMA)],MGO(WT%)[EMP (EPMA)],NA2O(WT%)[EMP (EPMA)],P2O5(WT%)[EMP (EPMA)],S(WT%)[MS],SIO2(WT%)[EMP (EPMA)],TIO2(WT%)[EMP (EPMA)],D18O(VS SMOW)[MS],DD(VS SMOW)[MS]
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","LO-1-4","","HAWAIIAN ISLANDS/LOIHI;HAWAIIAN ISLANDS","","","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","18.95","-155.27","18.95","-155.27","13.44","11.68","","0.095","","0.033","0.006","11.82","0.588","0.54","0.87","6.81","2.54","0.32","0.152","48.69","2.82","5","-84"
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","LO-1-6","","HAWAIIAN ISLANDS/LOIHI;HAWAIIAN ISLANDS","","","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","18.95","-155.27","18.95","-155.27","13.61","11.79","0.004","0.065","0.013","0.066","0.006","12.01","0.613","0.44","0.87","6.7","2.57","0.32","0.102","49.24","2.67","5.1","-69"
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","LO-1-9","","HAWAIIAN ISLANDS/LOIHI;HAWAIIAN ISLANDS","","","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","18.95","-155.27","18.95","-155.27","13.96","11.41","","0.128","","0.045","0.009","12.23","0.591","0.45","0.92","6.28","2.61","0.31","0.15","49.27","2.79","5",""
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","KIL-1-BR","","EAST RIFT ZONE/HAWAII/HAWAIIAN ISLANDS/KILAUEA;HAWAII/PUNA BASALT/SHIELD STAGE","","","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","19.62","-154.54","19.62","-154.54","13.71","11.2","","0.04","0.013","0.051","0.009","10.67","0.442","0.43","0.73","6.4","2.3","0.26","0.174","51.5","2.57","",""
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","KIL-1-1","","EAST RIFT ZONE/HAWAII/HAWAIIAN ISLANDS/KILAUEA;HAWAII/PUNA BASALT/SHIELD STAGE","","","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","19.62","-154.54","19.62","-154.54","13.64","11.26","","0.049","","0.046","0.012","10.62","0.516","0.44","0.74","6.47","2.29","0.28","0.122","51.02","2.56","",""
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","KIL-1-4","","EAST RIFT ZONE/HAWAII/HAWAIIAN ISLANDS/KILAUEA;HAWAII/PUNA BASALT/SHIELD STAGE","","","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","19.62","-154.54","19.62","-154.54","13.89","11.13","","0.028","0.017","0.054","0.008","10.58","0.557","0.44","0.77","6.41","2.24","0.27","0.102","51.23","2.58","4.9","-61"
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","KIL-1-5","","EAST RIFT ZONE/HAWAII/HAWAIIAN ISLANDS/KILAUEA;HAWAII/PUNA BASALT/SHIELD STAGE","","","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","19.62","-154.54","19.62","-154.54","13.95","10.89","","0.023","0.012","0.145","0.009","11.02","0.551","0.49","0.87","6.2","2.36","0.31","0.128","50.78","2.86","",""
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","KIL-1-9","","EAST RIFT ZONE/HAWAII/HAWAIIAN ISLANDS/KILAUEA;HAWAII/PUNA BASALT/SHIELD STAGE","","","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","19.62","-154.54","19.62","-154.54","13.57","11.27","0.003","0.031","0.006","0.136","0.006","10.52","0.542","0.42","0.8","7.23","2.2","0.24","0.08","51.07","2.42","4.9","-74"
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","KIL-2-1","","EAST RIFT ZONE/HAWAII/HAWAIIAN ISLANDS/KILAUEA;HAWAII/PUNA BASALT/SHIELD STAGE","","","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT;PICRITE","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","19.67","-154.43","19.67","-154.43","14.1","11.07","","0.046","","0.047","0.015","10.11","0.437","0.46","0.64","6.37","2.28","0.3","0.097","51.72","2.66","5.1","-62"
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","KIL-2-8","","EAST RIFT ZONE/HAWAII/HAWAIIAN ISLANDS/KILAUEA;HAWAII/PUNA BASALT/SHIELD STAGE","","","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","19.67","-154.43","19.67","-154.43","14.02","10.98","","0.021","","0.097","0.008","10.17","0.568","0.47","0.78","6.34","2.28","0.29","0.088","51.76","2.73","5","-64"
